oldname,name,band,seite
BVerfG_2003-02-12_S_2_BvR_0709_99_NA,BeamtenbesoldungOst-2,107,257
BVerfG_2003-03-11_S_1_BvR_0426_02_NA,Schockwerbung-2,107,275
BVerfG_2003-03-11_S_2_BvK_0001_02_NA,Kommunalwahl-Sperrklausel-2,107,286
BVerfG_2003-03-18_S_2_BvB_0001_01_NA,NPD-Verbot-Einstellung,107,339
BVerfG_2003-04-30_P_1_PBvU_0001_02_NA,RechtsschutzGegenRichter-1,107,395
BVerfG_2003-03-19_S_2_BvL_0009_98_NA,UniversitätsgesetzBaWü-Rückmeldegebühr,108,1
BVerfG_2003-03-25_S_2_BvQ_0018_03_NA,BewaffneteBundeswehreinsätze,108,34
BVerfG_2003-03-26_S_1_BvR_0112_03_NA,Beitragssatzsicherungsgesetz-Rabatte,108,45
BVerfG_2003-04-09_S_1_BvL_0001_01_NA,Kindesunterhalt,108,52
BVerfG_2003-04-09_S_1_BvR_1493_96_NA,BiologischerVater,108,82
BVerfG_2003-06-18_S_2_BvR_0383_03_NA,Parteienfinanzierung-SelbstablehnungJentsch,108,122
BVerfG_2003-06-24_S_2_BvR_0685_03_NA,AuslieferungVanuatuIndien,108,129
BVerfG_2003-07-03_S_1_BvR_0238_01_NA,Sozietätswechsel,108,150
BVerfG_2003-07-15_S_2_BvF_0006_98_NA,Telekommunikationsgesetz,108,169
BVerfG_2003-07-17_S_2_BvL_0001_99_NA,InformationspflichtenSonderabgaben,108,186
BVerfG_2003-07-25_S_2_BvR_1198_03_NA,Napster,108,238
BVerfG_2003-07-30_S_2_BvR_0508_01_NA,Abgeordnetenbüro,108,251
BVerfG_2003-09-17_S_1_BvL_0003_98_NA,Rentenüberleitung-5-SelbstablehnungPapier,108,279
BVerfG_2003-09-24_S_2_BvR_1436_02_NA,Kopftuch-1,108,282
BVerfG_2003-03-12_S_1_BvR_0330_96_NA,AbhörenJournalisten,108,299
BVerfG_2003-10-07_S_1_BvR_0010_99_NA,RechtsschutzGegenRichter-2,108,341
BVerfG_2003-10-07_S_1_BvR_0246_93_NA,UnterhaltEheWiederheiratSteuer,108,351
BVerfG_2003-10-07_S_1_BvR_1712_01_NA,Exklusivlizenz,108,370
BVerfG_2003-10-07_S_2_BvG_0001_02_NA,FristablaufVorlagePara50Abs3VwGO,109,1
BVerfG_2003-11-05_S_2_BvR_1243_03_NA,AuslieferungLockvogelVölkerrecht-1,109,13
BVerfG_2003-11-05_S_2_BvR_1506_03_NA,AuslieferungLockvogelVölkerrecht-2,109,38
BVerfG_2003-11-18_S_1_BvR_0302_96_NA,Mutterschaftsgeld-2,109,64
BVerfG_2003-12-09_S_1_BvR_0558_99_NA,VersicherungspflichtEhegattenLandwirte,109,96
BVerfG_2003-12-18_S_2_BvR_1027_02_NA,Anwaltsdaten-EA,109,128
BVerfG_2004-01-19_S_2_BvF_0001_98_NA,NeuregelungEnergiewirtschaftsrecht-SelbstablehnungDiFabio,109,130
BVerfG_2004-02-05_S_2_BvR_2029_01_NA,LangfristigeSicherheitsverwahrung,109,133
BVerfG_2004-02-10_S_2_BvR_0834_02_NA,NachträglicheSicherungsverwahrung-1,109,190
BVerfG_2004-02-18_S_1_BvR_0193_97_NA,Vor-Ehename,109,256
BVerfG_2004-02-26_S_2_BvH_0001_04_NA,HamburgerWahlkampf,109,275
BVerfG_2004-03-03_S_1_BvR_2378_98_NA,GrosserLauschangriff,109,279
BVerfG_2004-01-14_S_2_BvR_0564_95_NA,ErweiterterVerfall,110,1
BVerfG_2004-03-03_S_1_BvF_0003_92_NA,Zollkriminalamt,110,33
BVerfG_2004-03-03_S_1_BvR_0461_03_NA,RechtsschutzinteresseFFKVersammlungrecht,110,77
BVerfG_2004-03-09_S_2_BvL_0017_02_NA,Spekulationssteuer,110,94
BVerfG_2004-03-16_S_1_BvR_1778_01_NA,Kampfhunde,110,141
BVerfG_2004-03-17_S_1_BvR_1266_00_NA,FreizügigkeitSpätaussiedler,110,177
BVerfG_2004-03-30_S_2_BvK_0001_01_NA,Aktenvorlage-2,110,199
BVerfG_2004-03-30_S_2_BvR_1520_01_NA,Geldwäsche,110,226
BVerfG_2004-04-20_S_1_BvR_1748_99_NA,Ökosteuer,110,274
BVerfG_2004-04-20_S_1_BvR_0838_01_NA,Anwaltsnotariat-1,110,304
BVerfG_2004-05-04_S_1_BvR_1892_03_NA,Wiedereinsetzung,110,339
BVerfG_2004-05-06_S_2_BvL_0016_02_NA,Grundgehaltsstufen,110,353
BVerfG_2004-05-18_S_2_BvR_2374_99_NA,Klärschlamm,110,370
BVerfG_2004-06-08_S_2_BvL_0005_00_NA,Teilkindergeld,110,412
BVerfG_2004-01-27_S_2_BvR_0496_01_NA,AllgemeinerJustizgewährungsanspruchKirche,111,1
BVerfG_2004-06-09_S_1_BvR_0636_02_NA,Ladenschlussgesetz-3,111,10
BVerfG_2004-06-17_S_2_BvR_0383_03_NA,Rechenschaftsbericht,111,54
BVerfG_2004-06-23_S_1_BvL_0003_98_NA,Rentenüberleitung-5,111,115
BVerfG_2004-06-23_S_1_BvQ_0019_04_NA,InhaltsbezogenesVersammlungsverbot,111,147
BVerfG_2004-07-06_S_1_BvL_0004_97_NA,KindergeldAusländer,111,160
BVerfG_2004-07-06_S_1_BvR_2515_95_NA,ErziehungsgeldAusländer,111,176
BVerfG_2004-07-13_S_1_BvR_1298_94_NA,Notarkassen,111,191
BVerfG_2004-07-27_S_2_BvF_0002_02_NA,Juniorprofessur,111,226
BVerfG_2004-08-09_S_2_BvE_0002_04_NA,LandeswahlgesetzNRW,111,286
BVerfG_2004-10-12_S_1_BvR_2130_98_NA,Aufsichtsratswahl,111,289
BVerfG_2004-10-14_S_2_BvR_1481_04_NA,EGMR-Entscheidungen-Görgülü,111,307
BVerfG_2004-10-26_S_1_BvR_0911_00_NA,BrandenburgischesHochschulgesetz,111,333
BVerfG_2004-10-26_S_1_BvR_0981_00_NA,Steuerberaterwerbung,111,366
BVerfG_2004-10-26_S_2_BvE_0001_02_NA,Drei-Länder-Quorum,111,382
BVerfG_2004-10-26_S_2_BvR_0955_00_NA,Bodenreform-3,112,1
BVerfG_2004-11-09_S_1_BvR_0684_98_NA,Opferentschädigungsgesetz,112,50
BVerfG_2004-11-23_S_1_BvL_0006_99_NA,Privatschulfinanzierung-2,112,74
BVerfG_2004-11-24_S_2_BvR_2236_04_NA,EuropäischerHaftbefehl-EA,112,90
BVerfG_2004-12-07_S_1_BvR_1804_03_NA,Stiftung-Erinnerung,112,93
BVerfG_2004-12-08_S_2_BvE_0003_02_NA,Vermittlungsausschuss-FraktionsanteileBundesrat,112,118
BVerfG_2005-01-11_S_2_BvR_0167_02_NA,AuslegungPara32Abs4Satz2EStG,112,164
BVerfG_2005-01-25_S_2_BvR_0656_99_NA,RevisionVerfahrensrügenZulässigkeit,112,185
BVerfG_2005-01-25_S_2_BvR_2185_04_NA,GewerbesteuerlicherMindesthebesatz-EA,112,216
BVerfG_2005-01-26_S_2_BvF_0001_03_NA,Studiengebühren,112,226
BVerfG_2005-03-08_S_1_BvR_2561_03_NA,Anwaltsnotariat-2,112,255
BVerfG_2005-03-16_S_2_BvL_0007_00_NA,Kinderbetreuungskosten,112,268
BVerfG_2005-03-22_S_1_BvR_2357_04_NA,Kontostammdaten-EA,112,284
BVerfG_2005-04-12_S_2_BvR_0581_01_NA,GPS-GlobalPositioningSystem,112,304
BVerfG_2005-04-12_S_2_BvQ_0006_05_NA,KompetenzzentrumBolognaReform,112,321
BVerfG_2005-04-19_S_1_BvR_1644_00_NA,Pflichtteil,112,332
BVerfG_2005-04-28_S_2_BvE_0001_05_NA,TerminierungLesung-EU-Verfassungsvertrag,112,363
BVerfG_2005-05-11_S_1_BvR_0368_97_NA,Rentenüberleitung-6,112,368
BVerfG_2005-04-05_S_1_BvR_0774_02_NA,KindererziehungszeitenAnwaltsversorgung,113,1
BVerfG_2005-04-12_S_2_BvR_1027_02_NA,Anwaltsdaten-Hauptsache,113,29
BVerfG_2005-05-24_S_1_BvR_1072_01_NA,JungeFreiheit,113,63
BVerfG_2005-06-07_S_1_BvR_1508_96_NA,Elternunterhalt,113,88
BVerfG_2005-06-15_S_2_BvQ_0018_05_NA,Visa-Untersuchungsausschuss-EA,113,113
